"TIME";"DSC_ERROR_LEVEL";"MESSAGE";"DETAILS_ERROR";"DSC_ERROR_TYPE";"GUID_PROCESS_EXECUTION";"GUID_PROCESS_ERROR"
"04/09/2014, 15:11:17:100";"Trace";"Set execution parameter: period; Value: 201406";"";"Technical";"55BE5C81C6B043F49B14B6B46CBECD29";"2DC9719E8D7B489185FFA39C011B401D"
"04/09/2014, 15:11:17:121";"Trace";"Set execution parameter: file_status; Value: 4";"";"Technical";"55BE5C81C6B043F49B14B6B46CBECD29";"CAEFA7F8E7A443FFBF3DA39C011B4021"
"04/09/2014, 15:11:17:130";"Trace";"Resolving parameter: side; with value: Platform;";"";"Technical";"55BE5C81C6B043F49B14B6B46CBECD29";"08F412DBD10B4DA98636A39C011B4026"
"04/09/2014, 15:11:17:142";"Debug";"Calling send alert for generator Adp.Streamline.ProductionLine.Domain.NamingConventionCommandEvent for 0 event(s) and 0 parameter(s)";"";"Technical";"55BE5C81C6B043F49B14B6B46CBECD29";"E2D9CD347BB94DE69208A39C011B402B"
"04/09/2014, 15:11:17:148";"Info";"End step 2 execution successfully";"";"Technical";"55BE5C81C6B043F49B14B6B46CBECD29";"C914D5E9E0AB4AF4B2EDA39C011B402B"
"04/09/2014, 15:11:17:176";"Info";">> Begin execution step: 5B16FE3964D2401581E8A39C011B3E85; with order: 3";"";"Technical";"55BE5C81C6B043F49B14B6B46CBECD29";"A679006779314F39BA2EA39C011B4034"
"04/09/2014, 15:11:17:209";"Debug";"Command: 2A0761008F254C19AF4D1B20627A10C6; Name: Manage file";"";"Technical";"55BE5C81C6B043F49B14B6B46CBECD29";"4272018DDE8C4A349B31A39C011B403E"
"04/09/2014, 15:11:17:220";"Debug";"Registering parameters for step 5B16FE3964D2401581E8A39C011B3E85";"";"Technical";"55BE5C81C6B043F49B14B6B46CBECD29";"BBEFEC208993470586C0A39C011B4042"
"04/09/2014, 15:11:17:235";"Trace";"Set default parameter: pipeline_id; with value: 55BE5C81C6B043F49B14B6B46CBECD29";"";"Technical";"55BE5C81C6B043F49B14B6B46CBECD29";"4D472193D0274285B6F6A39C011B4047"
"04/09/2014, 15:11:17:236";"Trace";"Set default parameter: tid; with value: 954321";"";"Technical";"55BE5C81C6B043F49B14B6B46CBECD29";"FC7EA4EDD29B415DB7DBA39C011B4047"
"04/09/2014, 15:11:17:247";"Trace";"Set default parameter: side; with value: Platform";"";"Technical";"55BE5C81C6B043F49B14B6B46CBECD29";"5619B28EC39746BCB540A39C011B404C"
"04/09/2014, 15:11:17:262";"Trace";"Set default parameter: file_id; with value: BE4B9DFFD9FA410DA5E782E6197DFB75";"";"Technical";"55BE5C81C6B043F49B14B6B46CBECD29";"F09D2F51D8FB4556B2F3A39C011B404C"
"04/09/2014, 15:11:17:272";"Trace";"Set default parameter: file_path; with value: \\ind021\Webbyfiles\folders\954321\OUTPUT";"";"Technical";"55BE5C81C6B043F49B14B6B46CBECD29";"98EEC5F015DF4636A45EA39C011B4050"
"04/09/2014, 15:11:17:278";"Trace";"Set default parameter: file_name; with value: P_SRF_LIDA_20140601_20140630_01_3.xls";"";"Technical";"55BE5C81C6B043F49B14B6B46CBECD29";"A8711754239041069A78A39C011B4055"
"04/09/2014, 15:11:17:289";"Trace";"Set default parameter: file_type_id; with value: SRF";"";"Technical";"55BE5C81C6B043F49B14B6B46CBECD29";"807FA7004CE44901BD8FA39C011B4055"
"04/09/2014, 15:11:17:290";"Trace";"Set default parameter: container_type_id; with value: FILE";"";"Technical";"55BE5C81C6B043F49B14B6B46CBECD29";"65DC846D3632475CAFC3A39C011B4055"
"04/09/2014, 15:11:17:298";"Trace";"Set default parameter: transmission_mode; with value: 1";"";"Technical";"55BE5C81C6B043F49B14B6B46CBECD29";"5F0E0ECA25724BB78737A39C011B405A"
"04/09/2014, 15:11:17:318";"Trace";"Resolving parameter: file_name; with value: P_SRF_LIDA_20140601_20140630_01_3.xls;";"";"Technical";"55BE5C81C6B043F49B14B6B46CBECD29";"1E26CA1D3E4740B89E80A39C011B405E"
"04/09/2014, 15:11:17:328";"Trace";"Resolving parameter: file_path; with value: \\ind021\Webbyfiles\folders\954321\OUTPUT;";"";"Technical";"55BE5C81C6B043F49B14B6B46CBECD29";"F15C40E1EEEC45B7A9FFA39C011B4063"
"04/09/2014, 15:11:17:346";"Trace";"Resolving parameter: file_type_id; with value: SRF;";"";"Technical";"55BE5C81C6B043F49B14B6B46CBECD29";"2EC3C1DEEBC744959559A39C011B4068"
"04/09/2014, 15:11:17:351";"Trace";"Get execution parameter: file_status; Value: 4";"";"Technical";"55BE5C81C6B043F49B14B6B46CBECD29";"D6D33544FCEE41D4ACA7A39C011B4068"
"04/09/2014, 15:11:17:357";"Trace";"Get execution parameter: file_status; Value: 4";"";"Technical";"55BE5C81C6B043F49B14B6B46CBECD29";"6C3DCB59FF5840659FE0A39C011B406C"
"04/09/2014, 15:11:17:369";"Trace";"Resolving execution parameter: file_status; with value: 4;";"";"Technical";"55BE5C81C6B043F49B14B6B46CBECD29";"101AAFD8D5E248D1851BA39C011B406C"
"04/09/2014, 15:11:17:391";"Trace";"Resolving parameter: standard_io_folder; with value: \\ind021\Webbyfiles\folders;";"";"Technical";"55BE5C81C6B043F49B14B6B46CBECD29";"EA1A18F1845C4F0190F7A39C011B4076"
"04/09/2014, 15:11:17:392";"Trace";"Resolving parameter: file_name; with value: P_SRF_LIDA_20140601_20140630_01_3.xls;";"";"Technical";"55BE5C81C6B043F49B14B6B46CBECD29";"B95FD2E7E09443B69DF2A39C011B4076"
"04/09/2014, 15:11:17:397";"Info";"File 'P_SRF_LIDA_20140601_20140630_01_3.xls' with sourcefolder '\\ind021\Webbyfiles\folders\954321\OUTPUT' was succesfully moved to '\\ind021\Webbyfiles\folders\954321\output\accepted\20140904\P_SRF_LIDA_20140601_20140630_01_3_1.xls'";"";"Technical";"55BE5C81C6B043F49B14B6B46CBECD29";"2D66463FC2CB44FA96BBA39C011B4076"
"04/09/2014, 15:11:17:429";"Debug";"File path updated. Old path: \\ind021\Webbyfiles\folders\954321\output\accepted\20140904\P_SRF_LIDA_20140601_20140630_01_3_1.xls; New path: \\ind021\Webbyfiles\folders\954321\output\accepted\20140904";"";"Technical";"55BE5C81C6B043F49B14B6B46CBECD29";"ED42450C62974BA79626A39C011B407F"
"04/09/2014, 15:11:17:436";"Debug";"File name updated. Old file name: P_SRF_LIDA_20140601_20140630_01_3.xls; New filename: P_SRF_LIDA_20140601_20140630_01_3_1.xls";"";"Technical";"55BE5C81C6B043F49B14B6B46CBECD29";"D4DE8E530A3B42B0981BA39C011B4084"
"04/09/2014, 15:11:17:456";"Trace";"Set execution parameter: file_name; Value: P_SRF_LIDA_20140601_20140630_01_3_1.xls";"";"Technical";"55BE5C81C6B043F49B14B6B46CBECD29";"A90AD1F8CE9D470EA9D3A39C011B4089"
"04/09/2014, 15:11:17:478";"Trace";"Set execution parameter: receive_file_path; Value: \\ind021\Webbyfiles\folders\954321\OUTPUT";"";"Technical";"55BE5C81C6B043F49B14B6B46CBECD29";"2BF39A81975A481A9B16A39C011B408D"
"04/09/2014, 15:11:17:500";"Trace";"Set execution parameter: file_path; Value: \\ind021\Webbyfiles\folders\954321\output\accepted\20140904";"";"Technical";"55BE5C81C6B043F49B14B6B46CBECD29";"99D29FFBFB434709B862A39C011B4097"
"04/09/2014, 15:11:17:532";"Trace";"Set execution parameter: input_file_info_file_path; Value: \\ind021\Webbyfiles\folders\954321\output\accepted\20140904";"";"Technical";"55BE5C81C6B043F49B14B6B46CBECD29";"88E8B0804BA04DC0BC1DA39C011B40A0"
"04/09/2014, 15:11:17:551";"Trace";"Set execution parameter: input_file_info_receive_folder; Value: \\ind021\Webbyfiles\folders\954321\OUTPUT";"";"Technical";"55BE5C81C6B043F49B14B6B46CBECD29";"894A2713669648DA8194A39C011B40A5"
"04/09/2014, 15:11:17:559";"Info";"End step 3 execution successfully";"";"Technical";"55BE5C81C6B043F49B14B6B46CBECD29";"1889E2846BDA4BA887ECA39C011B40A9"
"04/09/2014, 15:11:17:588";"Info";">> Begin execution step: 27273B66160E49718250A39C011B3E85; with order: 4";"";"Technical";"55BE5C81C6B043F49B14B6B46CBECD29";"60AFA295D46C4B9F8E90A39C011B40AE"
"04/09/2014, 15:11:17:600";"Debug";"Command: 63FEFF278E954104ADA0BCD56DA831D0; Name: Log data in legacy ShuttleFileEvents table";"";"Technical";"55BE5C81C6B043F49B14B6B46CBECD29";"5BF69CF4C5A940169DA0A39C011B40B3"
"04/09/2014, 15:11:17:611";"Debug";"Registering parameters for step 27273B66160E49718250A39C011B3E85";"";"Technical";"55BE5C81C6B043F49B14B6B46CBECD29";"BFE7AB6696EF41A8B6F2A39C011B40B7"
"04/09/2014, 15:11:17:613";"Trace";"Set default parameter: pipeline_id; with value: 55BE5C81C6B043F49B14B6B46CBECD29";"";"Technical";"55BE5C81C6B043F49B14B6B46CBECD29";"E9D1251E80F946A9A540A39C011B40B7"
"04/09/2014, 15:11:17:614";"Trace";"Set default parameter: tid; with value: 954321";"";"Technical";"55BE5C81C6B043F49B14B6B46CBECD29";"38F39C110C044DB8BD23A39C011B40B7"
"04/09/2014, 15:11:17:621";"Trace";"Set default parameter: side; with value: Platform";"";"Technical";"55BE5C81C6B043F49B14B6B46CBECD29";"2F2B902460654B7F9FBBA39C011B40B7"
"04/09/2014, 15:11:17:635";"Trace";"Set default parameter: file_id; with value: BE4B9DFFD9FA410DA5E782E6197DFB75";"";"Technical";"55BE5C81C6B043F49B14B6B46CBECD29";"B1E2027C90B044A29081A39C011B40BC"
"04/09/2014, 15:11:17:648";"Trace";"Set default parameter: file_path; with value: \\ind021\Webbyfiles\folders\954321\output\accepted\20140904";"";"Technical";"55BE5C81C6B043F49B14B6B46CBECD29";"057232B30F8341F4ACF5A39C011B40C1"
"04/09/2014, 15:11:17:659";"Trace";"Set default parameter: file_name; with value: P_SRF_LIDA_20140601_20140630_01_3_1.xls";"";"Technical";"55BE5C81C6B043F49B14B6B46CBECD29";"102CB32EE4F34B07B7B1A39C011B40C5"
"04/09/2014, 15:11:17:670";"Trace";"Set default parameter: file_type_id; with value: SRF";"";"Technical";"55BE5C81C6B043F49B14B6B46CBECD29";"68DADD34C5E941EF9C76A39C011B40CA"
"04/09/2014, 15:11:17:695";"Trace";"Set default parameter: container_type_id; with value: FILE";"";"Technical";"55BE5C81C6B043F49B14B6B46CBECD29";"F5BA2EA0DE3A43B7BF2DA39C011B40CF"
