"TIME";"DSC_ERROR_LEVEL";"MESSAGE";"DETAILS_ERROR";"DSC_ERROR_TYPE";"GUID_PROCESS_EXECUTION";"GUID_PROCESS_ERROR"
"17/10/2014, 10:23:03:088";"Debug";"Command: 5E067219AF814527B562701E791ED69E; Name: Log data in legacy UhraCliFileNc table";"";"Technical";"9181181E3C954DF6AF60CA400A4C5F95";"B301D5BC73924F2095CAA3C700CC1595"
"17/10/2014, 10:23:03:089";"Debug";"Registering parameters for step A970DD5AB9D545908CFBA3C700CC126A";"";"Technical";"9181181E3C954DF6AF60CA400A4C5F95";"64B63997C7B54779AD3FA3C700CC1595"
"17/10/2014, 10:23:03:097";"Trace";"Set default parameter: pipeline_id; with value: 9181181E3C954DF6AF60CA400A4C5F95";"";"Technical";"9181181E3C954DF6AF60CA400A4C5F95";"82266320BFDD41CEBCDCA3C700CC1599"
"17/10/2014, 10:23:03:105";"Trace";"Set default parameter: tid; with value: 010255";"";"Technical";"9181181E3C954DF6AF60CA400A4C5F95";"375CBF4A9EA74BD49642A3C700CC1599"
"17/10/2014, 10:23:03:119";"Trace";"Set default parameter: side; with value: Client";"";"Technical";"9181181E3C954DF6AF60CA400A4C5F95";"4E48D19EB86D4824BBE0A3C700CC159E"
"17/10/2014, 10:23:03:126";"Trace";"Set default parameter: file_id; with value: 1696B1E514CC4B1AB031F6380A2DC352";"";"Technical";"9181181E3C954DF6AF60CA400A4C5F95";"023ABC86CE3743A4BE64A3C700CC159E"
"17/10/2014, 10:23:03:138";"Trace";"Set default parameter: file_path; with value: \\ind021\NPRSin\{6497ec54b333431da47fc0e9ab4ea80b}";"";"Technical";"9181181E3C954DF6AF60CA400A4C5F95";"9DDC0FB2B6464282AAD8A3C700CC15A3"
"17/10/2014, 10:23:03:149";"Trace";"Set default parameter: file_name; with value: EP2_010255_20141017_102257_FR003814_000000_0000SIF_00006_FILE_SIFsignOffV1.txt";"";"Technical";"9181181E3C954DF6AF60CA400A4C5F95";"B8119BECC3DA4F17A705A3C700CC15A8"
"17/10/2014, 10:23:03:159";"Trace";"Set default parameter: file_type_id; with value: SIF";"";"Technical";"9181181E3C954DF6AF60CA400A4C5F95";"D21C2C5EA5D14DDEBCB5A3C700CC15AC"
"17/10/2014, 10:23:03:166";"Trace";"Set default parameter: container_type_id; with value: FILE";"";"Technical";"9181181E3C954DF6AF60CA400A4C5F95";"49F4B80172534A2C919FA3C700CC15AC"
"17/10/2014, 10:23:03:174";"Trace";"Set default parameter: transmission_mode; with value: 1";"";"Technical";"9181181E3C954DF6AF60CA400A4C5F95";"1701C791E3094952BC31A3C700CC15AC"
"17/10/2014, 10:23:03:220";"Trace";"Set parameter: cfnc_date; with value: ";"";"Technical";"9181181E3C954DF6AF60CA400A4C5F95";"31C761F497BE42B89D9CA3C700CC15BA"
"17/10/2014, 10:23:03:256";"Trace";"Set parameter: cfnc_time; with value: ";"";"Technical";"9181181E3C954DF6AF60CA400A4C5F95";"A19C725688A54E05A3DCA3C700CC15C8"
"17/10/2014, 10:23:03:277";"Trace";"Set parameter: cfnc_country; with value: ";"";"Technical";"9181181E3C954DF6AF60CA400A4C5F95";"E4D6B6532BEA458AB338A3C700CC15CD"
"17/10/2014, 10:23:03:298";"Trace";"Set parameter: cfnc_ftype; with value: ";"";"Technical";"9181181E3C954DF6AF60CA400A4C5F95";"24DC8BCD7ABB4730822FA3C700CC15D2"
"17/10/2014, 10:23:03:320";"Trace";"Set parameter: cfnc_extension; with value: ";"";"Technical";"9181181E3C954DF6AF60CA400A4C5F95";"F62B26DB63D74D4EAA34A3C700CC15DB"
"17/10/2014, 10:23:03:342";"Trace";"Set parameter: cfnc_cuid; with value: ";"";"Technical";"9181181E3C954DF6AF60CA400A4C5F95";"64F8BD14CFBE4C978708A3C700CC15E0"
"17/10/2014, 10:23:03:366";"Trace";"Set parameter: cfnc_system; with value: ";"";"Technical";"9181181E3C954DF6AF60CA400A4C5F95";"509DB548D81245F38767A3C700CC15E9"
"17/10/2014, 10:23:03:388";"Trace";"Set parameter: cfnc_local_name; with value: ";"";"Technical";"9181181E3C954DF6AF60CA400A4C5F95";"2E7EA59F029744D681F5A3C700CC15EE"
"17/10/2014, 10:23:03:409";"Trace";"Set parameter: cfnc_paygroup; with value: ";"";"Technical";"9181181E3C954DF6AF60CA400A4C5F95";"5243A895FDEE4CE98487A3C700CC15F7"
"17/10/2014, 10:23:03:426";"Trace";"Set parameter: cfnc_region; with value: ";"";"Technical";"9181181E3C954DF6AF60CA400A4C5F95";"FBD0F14A0A524C4C86F9A3C700CC15FC"
"17/10/2014, 10:23:03:448";"Trace";"Set parameter: cfnc_pid; with value: ";"";"Technical";"9181181E3C954DF6AF60CA400A4C5F95";"29CD952D281B4B6EA9E5A3C700CC1601"
"17/10/2014, 10:23:03:461";"Trace";"Set parameter: cfnc_lid; with value: ";"";"Technical";"9181181E3C954DF6AF60CA400A4C5F95";"13754B6B26AF4DE39780A3C700CC1605"
"17/10/2014, 10:23:03:480";"Trace";"Set parameter: cfnc_bpm_errors_id; with value: ";"";"Technical";"9181181E3C954DF6AF60CA400A4C5F95";"70F40DEEE4DC4D4B91ABA3C700CC160A"
"17/10/2014, 10:23:03:502";"Trace";"Set parameter: cfnc_barcode; with value: ";"";"Technical";"9181181E3C954DF6AF60CA400A4C5F95";"1EDC5215E9F94240AA0FA3C700CC1613"
"17/10/2014, 10:23:03:521";"Trace";"Set parameter: cfnc_sequence; with value: ";"";"Technical";"9181181E3C954DF6AF60CA400A4C5F95";"914EFB4B74304479A429A3C700CC1618"
"17/10/2014, 10:23:03:544";"Trace";"Set parameter: cfnc_sysnum; with value: ";"";"Technical";"9181181E3C954DF6AF60CA400A4C5F95";"89A04044233B4F3DBD61A3C700CC161D"
"17/10/2014, 10:23:03:569";"Trace";"Resolving parameter: file_name; with value: EP2_010255_20141017_102257_FR003814_000000_0000SIF_00006_FILE_SIFsignOffV1.txt;";"";"Technical";"9181181E3C954DF6AF60CA400A4C5F95";"8A3CCE2B9F7548859D1CA3C700CC1626"
"17/10/2014, 10:23:03:592";"Trace";"Resolving parameter: file_path; with value: \\ind021\NPRSin\{6497ec54b333431da47fc0e9ab4ea80b};";"";"Technical";"9181181E3C954DF6AF60CA400A4C5F95";"400745BE265A4226BD0CA3C700CC162B"
"17/10/2014, 10:23:03:603";"Trace";"Resolving parameter: file_type_id; with value: SIF;";"";"Technical";"9181181E3C954DF6AF60CA400A4C5F95";"1A2F0AFF420D48AD8794A3C700CC162F"
"17/10/2014, 10:23:03:663";"Trace";"Get execution parameter: cfnc_sysnum; Value: ";"";"Technical";"9181181E3C954DF6AF60CA400A4C5F95";"96644E719EC5412DBDA3A3C700CC1642"
"17/10/2014, 10:23:03:683";"Trace";"Get execution parameter: cfnc_region; Value: ";"";"Technical";"9181181E3C954DF6AF60CA400A4C5F95";"98D5E588656040A0B028A3C700CC1647"
"17/10/2014, 10:23:03:697";"Trace";"Get execution parameter: cfnc_system; Value: ";"";"Technical";"9181181E3C954DF6AF60CA400A4C5F95";"046EA5A6EFB7408098DAA3C700CC164C"
"17/10/2014, 10:23:03:701";"Trace";"Get execution parameter: cfnc_date; Value: ";"";"Technical";"9181181E3C954DF6AF60CA400A4C5F95";"E235D499F3F04D55A14BA3C700CC164C"
"17/10/2014, 10:23:03:716";"Trace";"Get execution parameter: cfnc_time; Value: ";"";"Technical";"9181181E3C954DF6AF60CA400A4C5F95";"0CEF7AB77D5740278EFCA3C700CC1650"
"17/10/2014, 10:23:03:729";"Trace";"Get execution parameter: cfnc_country; Value: ";"";"Technical";"9181181E3C954DF6AF60CA400A4C5F95";"3FF25F3D3FB34A4ABC5DA3C700CC1655"
"17/10/2014, 10:23:03:754";"Trace";"Get execution parameter: cfnc_cuid; Value: ";"";"Technical";"9181181E3C954DF6AF60CA400A4C5F95";"3D0F18065706458CA80FA3C700CC165E"
"17/10/2014, 10:23:03:769";"Trace";"Get execution parameter: cfnc_paygroup; Value: ";"";"Technical";"9181181E3C954DF6AF60CA400A4C5F95";"4A6B89F8BA924F1AB71BA3C700CC1663"
"17/10/2014, 10:23:03:783";"Trace";"Get execution parameter: cfnc_sequence; Value: ";"";"Technical";"9181181E3C954DF6AF60CA400A4C5F95";"FE432A9CE9734C7FA9ECA3C700CC1668"
"17/10/2014, 10:23:03:801";"Trace";"Get execution parameter: cfnc_ftype; Value: ";"";"Technical";"9181181E3C954DF6AF60CA400A4C5F95";"1FB68A1E338B4957AF7EA3C700CC166C"
"17/10/2014, 10:23:03:816";"Trace";"Get execution parameter: cfnc_local_name; Value: ";"";"Technical";"9181181E3C954DF6AF60CA400A4C5F95";"B0976392E05F42679D22A3C700CC1671"
"17/10/2014, 10:23:03:827";"Trace";"Get execution parameter: cfnc_extension; Value: ";"";"Technical";"9181181E3C954DF6AF60CA400A4C5F95";"5368A6F91D094C158532A3C700CC1671"
"17/10/2014, 10:23:03:839";"Trace";"Get execution parameter: cfnc_pid; Value: ";"";"Technical";"9181181E3C954DF6AF60CA400A4C5F95";"B659E85347D84AEEB50AA3C700CC1676"
"17/10/2014, 10:23:03:849";"Trace";"Get execution parameter: cfnc_bpm_errors_id; Value: ";"";"Technical";"9181181E3C954DF6AF60CA400A4C5F95";"DA9EED4E2ED04C199749A3C700CC167A"
"17/10/2014, 10:23:03:858";"Trace";"Get execution parameter: cfnc_lid; Value: ";"";"Technical";"9181181E3C954DF6AF60CA400A4C5F95";"A341234099994A548801A3C700CC167A"
"17/10/2014, 10:23:03:878";"Trace";"Get execution parameter: cfnc_barcode; Value: ";"";"Technical";"9181181E3C954DF6AF60CA400A4C5F95";"C20972E53FCE49A691D4A3C700CC1684"
"17/10/2014, 10:23:03:888";"Trace";"Resolving parameter: file_name; with value: EP2_010255_20141017_102257_FR003814_000000_0000SIF_00006_FILE_SIFsignOffV1.txt;";"";"Technical";"9181181E3C954DF6AF60CA400A4C5F95";"AAB5289C7F0F4F279CD0A3C700CC1684"
"17/10/2014, 10:23:03:896";"Debug";"Calling send alert for generator Adp.Streamline.ProductionLine.Domain.InputNCInfoAdapterCommandEvents for 0 event(s) and 2 parameter(s)";"";"Technical";"9181181E3C954DF6AF60CA400A4C5F95";"AFF4A3A953844FEC9B65A3C700CC1689"
"17/10/2014, 10:23:03:903";"Info";"End step 2 execution successfully";"";"Technical";"9181181E3C954DF6AF60CA400A4C5F95";"8C46D69CE9EE4ED4BCD8A3C700CC1689"
"17/10/2014, 10:23:03:943";"Info";">> Begin execution step: D9170F017AFF44609600A3C700CC126A; with order: 3";"";"Technical";"9181181E3C954DF6AF60CA400A4C5F95";"C7853E96AF1A4BACAC5AA3C700CC1697"
"17/10/2014, 10:23:03:953";"Debug";"Command: 5387E9079B9C4ED4A4289F3A885F34D8; Name: Perform naming validation";"";"Technical";"9181181E3C954DF6AF60CA400A4C5F95";"9E0DD12EA47E4EC08DF7A3C700CC1697"
"17/10/2014, 10:23:03:963";"Debug";"Registering parameters for step D9170F017AFF44609600A3C700CC126A";"";"Technical";"9181181E3C954DF6AF60CA400A4C5F95";"77ED2FF1CF3A411A9F35A3C700CC169B"
"17/10/2014, 10:23:03:970";"Trace";"Set default parameter: pipeline_id; with value: 9181181E3C954DF6AF60CA400A4C5F95";"";"Technical";"9181181E3C954DF6AF60CA400A4C5F95";"DEB1918F48C540668DDDA3C700CC169B"
"17/10/2014, 10:23:03:983";"Trace";"Set default parameter: tid; with value: 010255";"";"Technical";"9181181E3C954DF6AF60CA400A4C5F95";"2DAB0F3EABDF4ACC942CA3C700CC16A0"
