"TIME";"DSC_ERROR_LEVEL";"MESSAGE";"DETAILS_ERROR";"DSC_ERROR_TYPE";"GUID_PROCESS_EXECUTION";"GUID_PROCESS_ERROR"
"05/09/2014, 13:17:06:687";"Trace";"Set execution parameter: file_sequence; Value: 00";"";"Technical";"ADA2D73F31084922979D751312199BD9";"98662B2FE5E44C249E2BA39D00FBE41E"
"05/09/2014, 13:17:06:719";"Trace";"Set execution parameter: period; Value: 201402";"";"Technical";"ADA2D73F31084922979D751312199BD9";"BEA92DE036E1452686B9A39D00FBE427"
"05/09/2014, 13:17:06:737";"Trace";"Set execution parameter: file_status; Value: 4";"";"Technical";"ADA2D73F31084922979D751312199BD9";"AC9C83C4EE8C420AABB0A39D00FBE42C"
"05/09/2014, 13:17:06:745";"Trace";"Resolving parameter: side; with value: Platform;";"";"Technical";"ADA2D73F31084922979D751312199BD9";"B44E3497DD244CB9B4EAA39D00FBE430"
"05/09/2014, 13:17:06:755";"Debug";"Calling send alert for generator Adp.Streamline.ProductionLine.Domain.NamingConventionCommandEvent for 0 event(s) and 0 parameter(s)";"";"Technical";"ADA2D73F31084922979D751312199BD9";"F4BEDCB05ACF4E539ED4A39D00FBE430"
"05/09/2014, 13:17:06:757";"Info";"End step 2 execution successfully";"";"Technical";"ADA2D73F31084922979D751312199BD9";"4CC2E7F190F04A1B9DACA39D00FBE435"
"05/09/2014, 13:17:06:771";"Info";">> Begin execution step: EB6432C78C5A49B3969EA39D00FBE281; with order: 3";"";"Technical";"ADA2D73F31084922979D751312199BD9";"A2B91B2F626345C79108A39D00FBE43A"
"05/09/2014, 13:17:06:782";"Debug";"Command: 2A0761008F254C19AF4D1B20627A10C6; Name: Manage file";"";"Technical";"ADA2D73F31084922979D751312199BD9";"9536F6E788294EED97AFA39D00FBE43A"
"05/09/2014, 13:17:06:787";"Debug";"Registering parameters for step EB6432C78C5A49B3969EA39D00FBE281";"";"Technical";"ADA2D73F31084922979D751312199BD9";"FD6D4E2F535848FEB395A39D00FBE43F"
"05/09/2014, 13:17:06:796";"Trace";"Set default parameter: pipeline_id; with value: ADA2D73F31084922979D751312199BD9";"";"Technical";"ADA2D73F31084922979D751312199BD9";"00614FA35988449DBE91A39D00FBE43F"
"05/09/2014, 13:17:06:807";"Trace";"Set default parameter: tid; with value: 954321";"";"Technical";"ADA2D73F31084922979D751312199BD9";"2D85CA9FE6CC441E908EA39D00FBE443"
"05/09/2014, 13:17:06:818";"Trace";"Set default parameter: side; with value: Platform";"";"Technical";"ADA2D73F31084922979D751312199BD9";"FD52A4A1A12144A4A838A39D00FBE448"
"05/09/2014, 13:17:06:829";"Trace";"Set default parameter: file_id; with value: 8F442230CBF3481A8D993D244DA5B3B6";"";"Technical";"ADA2D73F31084922979D751312199BD9";"7D03C609493E40C595CDA39D00FBE448"
"05/09/2014, 13:17:06:838";"Trace";"Set default parameter: file_path; with value: \\ind021\Webbyfiles\folders\954321\OUTPUT";"";"Technical";"ADA2D73F31084922979D751312199BD9";"05B158635628475FA433A39D00FBE44D"
"05/09/2014, 13:17:06:848";"Trace";"Set default parameter: file_name; with value: P_SLP_LIDA_20140201_20140228_00_V2_0000_00000_FILE_NOE_CONSEJEROS-DIRECCIαααN.pdf";"";"Technical";"ADA2D73F31084922979D751312199BD9";"E68FC741EBC64EC9A810A39D00FBE44D"
"05/09/2014, 13:17:06:858";"Trace";"Set default parameter: file_type_id; with value: SLP";"";"Technical";"ADA2D73F31084922979D751312199BD9";"C3C66A566CBD4DA09854A39D00FBE451"
"05/09/2014, 13:17:06:870";"Trace";"Set default parameter: container_type_id; with value: FILE";"";"Technical";"ADA2D73F31084922979D751312199BD9";"A1AF9854DF424CD3BE9CA39D00FBE456"
"05/09/2014, 13:17:06:871";"Trace";"Set default parameter: transmission_mode; with value: 1";"";"Technical";"ADA2D73F31084922979D751312199BD9";"DE478D1143C74A338ECCA39D00FBE456"
"05/09/2014, 13:17:06:885";"Trace";"Resolving parameter: file_name; with value: P_SLP_LIDA_20140201_20140228_00_V2_0000_00000_FILE_NOE_CONSEJEROS-DIRECCIαααN.pdf;";"";"Technical";"ADA2D73F31084922979D751312199BD9";"3A6716564BBA4BB29D74A39D00FBE45B"
"05/09/2014, 13:17:06:898";"Trace";"Resolving parameter: file_path; with value: \\ind021\Webbyfiles\folders\954321\OUTPUT;";"";"Technical";"ADA2D73F31084922979D751312199BD9";"6E391B1917024B358468A39D00FBE45F"
"05/09/2014, 13:17:06:908";"Trace";"Resolving parameter: file_type_id; with value: SLP;";"";"Technical";"ADA2D73F31084922979D751312199BD9";"F36AC14EDD5A4EB0B3FDA39D00FBE45F"
"05/09/2014, 13:17:06:913";"Trace";"Get execution parameter: file_status; Value: 4";"";"Technical";"ADA2D73F31084922979D751312199BD9";"299CB44168EA47FBBF79A39D00FBE464"
"05/09/2014, 13:17:06:924";"Trace";"Get execution parameter: file_status; Value: 4";"";"Technical";"ADA2D73F31084922979D751312199BD9";"825ED6C8FD734F1EA2F8A39D00FBE464"
"05/09/2014, 13:17:06:934";"Trace";"Resolving execution parameter: file_status; with value: 4;";"";"Technical";"ADA2D73F31084922979D751312199BD9";"BB1D5F2ABC084E4EB41CA39D00FBE469"
"05/09/2014, 13:17:06:964";"Trace";"Resolving parameter: standard_io_folder; with value: \\ind021\Webbyfiles\folders;";"";"Technical";"ADA2D73F31084922979D751312199BD9";"CD9CE67ACCFE4E83A4EEA39D00FBE472"
"05/09/2014, 13:17:06:974";"Trace";"Resolving parameter: file_name; with value: P_SLP_LIDA_20140201_20140228_00_V2_0000_00000_FILE_NOE_CONSEJEROS-DIRECCIαααN.pdf;";"";"Technical";"ADA2D73F31084922979D751312199BD9";"EF324E033BFE4FABA37DA39D00FBE472"
