"19/09/2014, 11:16:14:042";"Trace";"Get execution parameter: input_file_info_creation_date; Value: ";"";"Technical";"228CF7CAEC9347699C47C090611CF6A7";"212EACBD022F44FF9E3AA3AB00DAB122"
"19/09/2014, 11:16:14:060";"Trace";"Get execution parameter: input_file_info_receive_folder; Value: ";"";"Technical";"228CF7CAEC9347699C47C090611CF6A7";"0DE96604E5CF433981C8A3AB00DAB126"
"19/09/2014, 11:16:14:073";"Trace";"Get execution parameter: input_file_info_report_folder; Value: ";"";"Technical";"228CF7CAEC9347699C47C090611CF6A7";"D3C1CD1A8177406D96B6A3AB00DAB12B"
"19/09/2014, 11:16:14:211";"Trace";"Set execution parameter: sif_lgp_queue_type; Value: SMALL";"";"Technical";"228CF7CAEC9347699C47C090611CF6A7";"D0DAF7FB66914FD5AC66A3AB00DAB155"
"19/09/2014, 11:16:14:226";"Trace";"Resolving parameter: file_name; with value: EP2_010295_20140917_090534_IE008056_000000_0000LFF_00041_FILE_chuck.txt;";"";"Technical";"228CF7CAEC9347699C47C090611CF6A7";"53F1F3FD564949C79B3FA3AB00DAB15A"
"19/09/2014, 11:16:14:248";"Trace";"Resolving parameter: file_path; with value: \\ind021\NPRSinV1\{ed3a11f3ff4d49f692365e4007360780};";"";"Technical";"228CF7CAEC9347699C47C090611CF6A7";"13B1DF08D3154446A3DFA3AB00DAB15F"
"19/09/2014, 11:16:14:264";"Debug";"Calling send alert for generator Adp.Streamline.ProductionLine.Domain.InputFileInfoAdapterCommandEvent for 0 event(s) and 3 parameter(s)";"";"Technical";"228CF7CAEC9347699C47C090611CF6A7";"CD99C5918EBD4D129A69A3AB00DAB163"
"19/09/2014, 11:16:14:272";"Info";"End step 1 execution successfully";"";"Technical";"228CF7CAEC9347699C47C090611CF6A7";"FEB0A9BE18584EB2951DA3AB00DAB168"
"19/09/2014, 11:16:14:289";"Info";">> Begin execution step: 0F095F6C2117424EAEF8A3AB00DAAEB3; with order: 2";"";"Technical";"228CF7CAEC9347699C47C090611CF6A7";"126E9F90B6414468B149A3AB00DAB16D"
"19/09/2014, 11:16:14:297";"Debug";"Command: 5E067219AF814527B562701E791ED69E; Name: Log data in legacy UhraCliFileNc table";"";"Technical";"228CF7CAEC9347699C47C090611CF6A7";"E9517A84D1CE4BBE974EA3AB00DAB171"
"19/09/2014, 11:16:14:299";"Debug";"Registering parameters for step 0F095F6C2117424EAEF8A3AB00DAAEB3";"";"Technical";"228CF7CAEC9347699C47C090611CF6A7";"5FE1F8D8B12D41BDB000A3AB00DAB171"
"19/09/2014, 11:16:14:307";"Trace";"Set default parameter: pipeline_id; with value: 228CF7CAEC9347699C47C090611CF6A7";"";"Technical";"228CF7CAEC9347699C47C090611CF6A7";"58B789D9D9E5482C8270A3AB00DAB171"
"19/09/2014, 11:16:14:312";"Trace";"Set default parameter: tid; with value: 010295";"";"Technical";"228CF7CAEC9347699C47C090611CF6A7";"CD4B6B95997B49CAAE05A3AB00DAB176"
"19/09/2014, 11:16:14:319";"Trace";"Set default parameter: side; with value: Client";"";"Technical";"228CF7CAEC9347699C47C090611CF6A7";"7E4BBA22A35B41FAA5ACA3AB00DAB176"
"19/09/2014, 11:16:14:321";"Trace";"Set default parameter: file_id; with value: 8FC19680473D482B8320DAD4577CA16A";"";"Technical";"228CF7CAEC9347699C47C090611CF6A7";"273650B2A9E743528C2CA3AB00DAB176"
